START DATE,START DATE2,START TIME,END_DATE*,END DATE,END TIME,TIME DIFFERENCE,CATEGORY*,START*,STOP*,MILES*,HOUR DIFFERENCE,PURPOSE*,SPEED,,,,,,,,
01-01-2016 21:11,01-01-2016,9:11:00 PM,01-01-2016 21:17,01-01-2016,9:17:00 PM,00:06,Business,Fort Pierce,Fort Pierce,5.1,0.1,Meal/Entertain,51,,,,,,,,
01-02-2016 01:25,01-02-2016,1:25:00 AM,01-02-2016 01:37,01-02-2016,1:37:00 AM,00:12,Business,Fort Pierce,Fort Pierce,5,0.2,,25,,,,,,,,
01-02-2016 20:25,01-02-2016,8:25:00 PM,01-02-2016 20:38,01-02-2016,8:38:00 PM,00:13,Business,Fort Pierce,Fort Pierce,4.8,0.22,Errand/Supplies,22.15384615,,,,,,,,
01-05-2016 17:31,01-05-2016,5:31:00 PM,01-05-2016 17:45,01-05-2016,5:45:00 PM,00:14,Business,Fort Pierce,Fort Pierce,4.7,0.23,Meeting,20.14285714,,,,,,,,
01-06-2016 14:42,01-06-2016,2:42:00 PM,01-06-2016 15:49,01-06-2016,3:49:00 PM,01:07,Business,Fort Pierce,West Palm Beach,63.7,1.12,Customer Visit,57.04477612,,,,,,,,
01-06-2016 17:15,01-06-2016,5:15:00 PM,01-06-2016 17:19,01-06-2016,5:19:00 PM,00:04,Business,West Palm Beach,West Palm Beach,4.3,0.07,Meal/Entertain,64.5,,,,,,,,
01-06-2016 17:30,01-06-2016,5:30:00 PM,01-06-2016 17:35,01-06-2016,5:35:00 PM,00:05,Business,West Palm Beach,Palm Beach,7.1,0.08,Meeting,85.2,,,,,,,,
01-07-2016 13:27,01-07-2016,1:27:00 PM,01-07-2016 13:33,01-07-2016,1:33:00 PM,00:06,Business,Cary,Cary,0.8,0.1,Meeting,8,,,,,,,,
01-10-2016 08:05,01-10-2016,8:05:00 AM,01-10-2016 08:25,01-10-2016,8:25:00 AM,00:20,Business,Cary,Morrisville,8.3,0.33,Meeting,24.9,,,,,,,,
01-10-2016 12:17,01-10-2016,12:17:00 PM,01-10-2016 12:44,01-10-2016,12:44:00 PM,00:27,Business,Jamaica,New York,16.5,0.45,Customer Visit,36.66666667,,,,,,,,
01-10-2016 15:08,01-10-2016,3:08:00 PM,01-10-2016 15:51,01-10-2016,3:51:00 PM,00:43,Business,New York,Queens,10.8,0.72,Meeting,15.06976744,,,,,,,,
01-10-2016 18:18,01-10-2016,6:18:00 PM,01-10-2016 18:53,01-10-2016,6:53:00 PM,00:35,Business,Elmhurst,New York,7.5,0.58,Meeting,12.85714286,,,,,,,,
01-10-2016 19:12,01-10-2016,7:12:00 PM,01-10-2016 19:32,01-10-2016,7:32:00 PM,00:20,Business,Midtown,East Harlem,6.2,0.33,Meeting,18.6,,,,,,,,
01-11-2016 08:55,01-11-2016,8:55:00 AM,01-11-2016 09:21,01-11-2016,9:21:00 AM,00:26,Business,East Harlem,NoMad,6.4,0.43,Temporary Site,14.76923077,,,,,,,,
01-11-2016 11:56,01-11-2016,11:56:00 AM,01-11-2016 12:03,01-11-2016,12:03:00 PM,00:07,Business,Flatiron District,Midtown,1.6,0.12,Errand/Supplies,13.71428571,,,,,,,,
01-11-2016 13:32,01-11-2016,1:32:00 PM,01-11-2016 13:46,01-11-2016,1:46:00 PM,00:14,Business,Midtown,Midtown East,1.7,0.23,Meal/Entertain,7.285714286,,,,,,,,
01-11-2016 14:30,01-11-2016,2:30:00 PM,01-11-2016 14:43,01-11-2016,2:43:00 PM,00:13,Business,Midtown East,Midtown,1.9,0.22,Meal/Entertain,8.769230769,,,,,,Column1,Column2,Column3
01-12-2016 12:33,01-12-2016,12:33:00 PM,01-12-2016 12:49,01-12-2016,12:49:00 PM,00:16,Business,Midtown,Hudson Square,1.9,0.27,Meal/Entertain,7.125,,,,,,Q1,,14.63853659
01-12-2016 12:53,01-12-2016,12:53:00 PM,01-12-2016 13:09,01-12-2016,1:09:00 PM,00:16,Business,Hudson Square,Lower Manhattan,4,0.27,Meal/Entertain,15,,,,,,Q3,,28.25892857
01-12-2016 14:42,01-12-2016,2:42:00 PM,01-12-2016 14:56,01-12-2016,2:56:00 PM,00:14,Business,Lower Manhattan,Hudson Square,1.8,0.23,Errand/Supplies,7.714285714,,,,,,,,
01-12-2016 15:13,01-12-2016,3:13:00 PM,01-12-2016 15:28,01-12-2016,3:28:00 PM,00:15,Business,Hudson Square,Hell's Kitchen,2.4,0.25,Customer Visit,9.6,,,,,,IQR,,13.64571429
01-12-2016 15:42,01-12-2016,3:42:00 PM,01-12-2016 15:54,01-12-2016,3:54:00 PM,00:12,Business,Hell's Kitchen,Midtown,2,0.2,Errand/Supplies,10,,,,,,LOWER LIMIT,Q1-1.5*IQR,-5.828571429
01-12-2016 16:02,01-12-2016,4:02:00 PM,01-12-2016 17:00,01-12-2016,5:00:00 PM,00:58,Business,New York,Queens County,15.1,0.97,Meeting,15.62068966,,,,,,UPPER LIMIT,Q3-1.5*IQR,48.75428571
13-01-2016,13-01-2016,1:54:00 PM,13-01-2016,13-01-2016,2:07:00 PM,00:13,Business,Downtown,Gulfton,11.2,0.22,Meeting,51.69230769,,,,,,,,
13-01-2016,13-01-2016,3:00:00 PM,13-01-2016,13-01-2016,3:28:00 PM,00:28,Business,Gulfton,Downtown,11.8,0.47,Meeting,25.28571429,,,,,,,,
14-01-2016,14-01-2016,4:29:00 PM,14-01-2016,14-01-2016,5:05:00 PM,00:36,Business,Houston,Houston,21.9,0.6,Customer Visit,36.5,,,,,,,,
14-01-2016,14-01-2016,9:39:00 PM,14-01-2016,14-01-2016,9:45:00 PM,00:06,Business,Eagan Park,Jamestown Court,3.9,0.1,Errand/Supplies,39,,,,,,,,
15-01-2016,15-01-2016,12:41:00 AM,15-01-2016,15-01-2016,1:01:00 AM,00:20,Business,Morrisville,Cary,8,0.33,Errand/Supplies,24,,,,,,,,
15-01-2016,15-01-2016,11:43:00 AM,15-01-2016,15-01-2016,12:03:00 PM,00:20,Business,Cary,Durham,10.4,0.33,Meal/Entertain,31.2,,,,,,,,
